,Mmsi,Raim,AtonFlag,Latitude,ModeFlag,SenderId,Longitude,AtonStatus,NavAidName,NavAidType,OnPosition,MessageType,RepeatCount,TimeUnixSec,CountPublish,DimensionInfo,DimensionToBowM,MsgUtcTimestamp,DimensionToPortM,DimensionToStbdM,IsDimensionValid,PositionAccuracy,DimensionToSternM,IsOnPositionValid,ElectronicPosFixDeviceType,UTCDate,UTCTime,SOTDMAStatus,IsAISTimeUnixSecValid,ElectronicPositionFixingDevice,Spare,RadioStatus,TrueHeading,AisRateOfTurn,RateOfTurnDeg,SpeedOverGround,CourseOverGround,NavigationStatus,ManeuverIndicator,AisMsgUtcTimestamp,DscFlag,BandFlag,RaimFlag,UnitFlag,numFlags,CommState,DisplayFlag,FlagBooleans,Message22Flag,IsHeadingValid,AisUtcTimeStamp,CommStateSelectorFlagMessage
18101,367327080,RAIM in use,,40.052375,,gss-desktop:1875,-73.984775,,,,,1,0,1690376051.94465,17,,,,,,,Low (> 10m),,,,,,,,,0.0,213039,511.0,-128.0,-731.386484054556,18.900000000000002,136.9,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18116,367327080,RAIM in use,,40.05206333333334,,gss-desktop:1875,-73.98438166666666,,,,,1,0,1690376057.457659,18,,,,,,,Low (> 10m),,,,,,,,,0.0,164493,511.0,-128.0,-731.386484054556,19.3,138.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18132,367327080,RAIM in use,,40.051608333333334,,gss-desktop:1875,-73.98383333333334,,,,,1,0,1690376063.561723,19,,,,,,,Low (> 10m),,,,,,,,,0.0,133316,511.0,-128.0,-731.386484054556,19.1,137.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18148,367327080,RAIM in use,,40.05128166666667,,gss-desktop:1875,-73.98344666666667,,,,,1,0,1690376069.250197,20,,,,,,,Low (> 10m),,,,,,,,,0.0,213039,511.0,-128.0,-731.386484054556,19.1,138.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18166,367327080,RAIM in use,,40.050821666666664,,gss-desktop:1875,-73.98291,,,,,1,0,1690376075.753782,21,,,,,,,Low (> 10m),,,,,,,,,0.0,133303,511.0,-128.0,-731.386484054556,19.400000000000002,138.1,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18182,367327080,RAIM in use,,40.050493333333335,,gss-desktop:1875,-73.98252,,,,,1,0,1690376081.362084,22,,,,,,,Low (> 10m),,,,,,,,,0.0,230925,511.0,-128.0,-731.386484054556,19.200000000000003,137.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18200,367327080,RAIM in use,,40.050025,,gss-desktop:1875,-73.98197833333333,,,,,1,0,1690376087.62566,23,,,,,,,Low (> 10m),,,,,,,,,0.0,165624,511.0,-128.0,-731.386484054556,19.0,137.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18211,367327080,RAIM in use,,40.04969833333333,,gss-desktop:1875,-73.98163,,,,,1,0,1690376093.2188659,24,,,,,,,Low (> 10m),,,,,,,,,0.0,165834,511.0,-128.0,-731.386484054556,17.1,140.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18220,367327080,RAIM in use,,40.049321666666664,,gss-desktop:1875,-73.98125833333333,,,,,1,0,1690376099.4841318,25,,,,,,,Low (> 10m),,,,,,,,,0.0,213039,511.0,-128.0,-731.386484054556,16.400000000000002,140.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18232,367327080,RAIM in use,,40.048943333333334,,gss-desktop:1875,-73.980805,,,,,1,0,1690376105.54012,26,,,,,,,Low (> 10m),,,,,,,,,0.0,180271,511.0,-128.0,-731.386484054556,16.400000000000002,138.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18244,367327080,RAIM in use,,40.04859666666667,,gss-desktop:1875,-73.980425,,,,,1,0,1690376111.9485888,27,,,,,,,Low (> 10m),,,,,,,,,0.0,197054,511.0,-128.0,-731.386484054556,16.5,139.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18253,367327080,RAIM in use,,40.048305,,gss-desktop:1875,-73.98010666666667,,,,,1,0,1690376117.460728,28,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,16.3,139.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18263,367327080,RAIM in use,,40.04795166666667,,gss-desktop:1875,-73.97972666666666,,,,,1,0,1690376123.405478,29,,,,,,,Low (> 10m),,,,,,,,,0.0,197484,511.0,-128.0,-731.386484054556,16.3,140.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18274,367327080,RAIM in use,,40.04758833333333,,gss-desktop:1875,-73.97936,,,,,1,0,1690376129.253816,30,,,,,,,Low (> 10m),,,,,,,,,0.0,197703,511.0,-128.0,-731.386484054556,16.6,142.1,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18284,367327080,RAIM in use,,40.04724,,gss-desktop:1875,-73.97899166666667,,,,,1,0,1690376135.2473738,31,,,,,,,Low (> 10m),,,,,,,,,0.0,213040,511.0,-128.0,-731.386484054556,15.8,141.1,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18295,367327080,RAIM in use,,40.046925,,gss-desktop:1875,-73.978665,,,,,1,0,1690376141.353415,32,,,,,,,Low (> 10m),,,,,,,,,0.0,213040,511.0,-128.0,-731.386484054556,13.200000000000001,140.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18305,367327080,RAIM in use,,40.046623333333336,,gss-desktop:1875,-73.97833,,,,,1,0,1690376147.6301749,33,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,12.200000000000001,139.70000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18316,367327080,RAIM in use,,40.04640666666667,,gss-desktop:1875,-73.97809333333333,,,,,1,0,1690376153.222898,34,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,12.600000000000001,140.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18325,367327080,RAIM in use,,40.046141666666664,,gss-desktop:1875,-73.97781,,,,,1,0,1690376159.4909039,35,,,,,,,Low (> 10m),,,,,,,,,0.0,198837,511.0,-128.0,-731.386484054556,12.200000000000001,141.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18338,367327080,RAIM in use,,40.04583,,gss-desktop:1875,-73.97748333333334,,,,,1,0,1690376165.551126,36,,,,,,,Low (> 10m),,,,,,,,,0.0,164046,511.0,-128.0,-731.386484054556,12.4,140.70000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18350,367327080,RAIM in use,,40.045561666666664,,gss-desktop:1875,-73.97720166666667,,,,,1,0,1690376171.957733,37,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,12.3,140.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18359,367327080,RAIM in use,,40.045336666666664,,gss-desktop:1875,-73.976975,,,,,1,0,1690376177.4690368,38,,,,,,,Low (> 10m),,,,,,,,,0.0,133327,511.0,-128.0,-731.386484054556,12.200000000000001,143.0,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18369,367327080,RAIM in use,,40.04506833333333,,gss-desktop:1875,-73.97671333333334,,,,,1,0,1690376183.414254,39,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,12.200000000000001,144.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18380,367327080,RAIM in use,,40.044803333333334,,gss-desktop:1875,-73.97646166666667,,,,,1,0,1690376189.262462,40,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,12.100000000000001,144.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18390,367327080,RAIM in use,,40.04452333333333,,gss-desktop:1875,-73.97621833333334,,,,,1,0,1690376195.25211,41,,,,,,,Low (> 10m),,,,,,,,,0.0,197928,511.0,-128.0,-731.386484054556,12.3,144.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18401,367327080,RAIM in use,,40.044266666666665,,gss-desktop:1875,-73.97593833333333,,,,,1,0,1690376201.371692,42,,,,,,,Low (> 10m),,,,,,,,,0.0,198157,511.0,-128.0,-731.386484054556,12.100000000000001,137.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18412,367327080,RAIM in use,,40.044025,,gss-desktop:1875,-73.97562333333333,,,,,1,0,1690376207.63615,43,,,,,,,Low (> 10m),,,,,,,,,0.0,133329,511.0,-128.0,-731.386484054556,9.4,131.70000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18428,367327080,RAIM in use,,40.04392166666667,,gss-desktop:1875,-73.97542,,,,,1,0,1690376213.2273378,44,,,,,,,Low (> 10m),,,,,,,,,0.0,133342,511.0,-128.0,-731.386484054556,7.6000000000000005,133.1,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18444,367327080,RAIM in use,,40.04379333333333,,gss-desktop:1875,-73.975245,,,,,1,0,1690376219.507966,45,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,6.4,130.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18463,367327080,RAIM not in use (default),,40.04368,,gss-desktop:1875,-73.97503333333333,,,,,1,0,1690376225.546555,46,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,5.800000000000001,126.60000000000001,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18481,367327080,RAIM in use,,40.04358166666667,,gss-desktop:1875,-73.97486333333333,,,,,1,0,1690376231.953049,47,,,,,,,Low (> 10m),,,,,,,,,0.0,164286,511.0,-128.0,-731.386484054556,5.9,128.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18495,367327080,RAIM in use,,40.04349,,gss-desktop:1875,-73.97471333333333,,,,,1,0,1690376237.610044,48,,,,,,,Low (> 10m),,,,,,,,,0.0,213040,511.0,-128.0,-731.386484054556,4.9,127.7,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18510,367327080,RAIM in use,,40.04342833333333,,gss-desktop:1875,-73.97462833333333,,,,,1,0,1690376243.4313638,49,,,,,,,Low (> 10m),,,,,,,,,0.0,164716,511.0,-128.0,-731.386484054556,3.8000000000000003,128.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18527,367327080,RAIM in use,,40.043373333333335,,gss-desktop:1875,-73.974525,,,,,1,0,1690376249.2588499,50,,,,,,,Low (> 10m),,,,,,,,,0.0,164935,511.0,-128.0,-731.386484054556,3.1,130.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18544,367327080,RAIM in use,,40.04331166666667,,gss-desktop:1875,-73.97441666666667,,,,,1,0,1690376255.267217,51,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,3.7,127.60000000000001,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18561,367327080,RAIM in use,,40.04326833333333,,gss-desktop:1875,-73.97434,,,,,1,0,1690376261.369895,52,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,3.2,129.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18572,367327080,RAIM in use,,40.043005,,gss-desktop:1875,-73.97420166666667,,,,,1,0,1690376309.2560809,53,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,0.8,159.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18582,367327080,RAIM in use,,40.042988333333334,,gss-desktop:1875,-73.97418833333333,,,,,1,0,1690376315.264365,54,,,,,,,Low (> 10m),,,,,,,,,0.0,165160,511.0,-128.0,-731.386484054556,0.7000000000000001,161.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18593,367327080,RAIM in use,,40.042985,,gss-desktop:1875,-73.97416666666666,,,,,3,0,1690376321.367826,55,,,,,,,Low (> 10m),,,,,,,,,0.0,143409,511.0,-128.0,-731.386484054556,0.7000000000000001,154.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18604,367327080,RAIM in use,,40.04297833333333,,gss-desktop:1875,-73.97415333333333,,,,,3,0,1690376327.823098,56,,,,,,,Low (> 10m),,,,,,,,,0.0,133200,511.0,-128.0,-731.386484054556,0.5,148.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
